author;title;description;url;date
Ka1900;Los trabajadores de Amazon se declararán en huelga en varios almacenes de EE.UU. durante la ajetreada temporada navideña [Eng];Miles de Amazon.com (AMZN. Los trabajadores abandonarán el trabajo el jueves por la mañana, en los últimos días cruciales de la temporada navideña, después de que los funcionarios sindicales dijeran que el minorista no se sentó a la mesa de negociaciones para…;https://www.meneame.net/m/actualidad/trabajadores-amazon-declararan-huelga-varios-almacenes-ee-uu-eng;2024-12-19T09:30:58Z
MarketBeat News;Amazon.com, Inc. (NASDAQ:AMZN) Shares Bought by Rovin Capital UT ADV;Rovin Capital UT ADV grew its stake in shares of Amazon.com, Inc. (NASDAQ:AMZN) by 33.0% in the third quarter, Holdings Channel.com reports. The fund owned 8,115 shares of the e-commerce giant’s stock after purchasing an additional 2,015 shares during the per…;https://www.etfdailynews.com/2024/12/19/amazon-com-inc-nasdaqamzn-shares-bought-by-rovin-capital-ut-adv/;2024-12-19T09:23:01Z
MarketBeat News;Beta Wealth Group Inc. Has $6.80 Million Holdings in Amazon.com, Inc. (NASDAQ:AMZN);Beta Wealth Group Inc. lowered its holdings in Amazon.com, Inc. (NASDAQ:AMZN) by 1.7% during the third quarter, according to the company in its most recent Form 13F filing with the SEC. The institutional investor owned 36,493 shares of the e-commerce giant’s …;https://www.etfdailynews.com/2024/12/19/beta-wealth-group-inc-has-6-80-million-holdings-in-amazon-com-inc-nasdaqamzn/;2024-12-19T09:23:00Z
MarketBeat News;Rather & Kittrell Inc. Purchases 154 Shares of Amazon.com, Inc. (NASDAQ:AMZN);Rather & Kittrell Inc. lifted its position in shares of Amazon.com, Inc. (NASDAQ:AMZN) by 10.3% during the third quarter, according to its most recent disclosure with the Securities and Exchange Commission (SEC). The institutional investor owned 1,645 shares …;https://www.etfdailynews.com/2024/12/19/rather-kittrell-inc-purchases-154-shares-of-amazon-com-inc-nasdaqamzn/;2024-12-19T09:22:58Z
小林陸;Amazon GuardDuty Malware Protection for Amazon S3でマルウェア検知後にメールで通知してみた;Amazon GuardDuty Malware Protection for Amazon S3でマルウェア検知後にメールで通知してみた;https://dev.classmethod.jp/articles/amazon_guardduty_malware_protection_for_amazon_s3_notifying_email/;2024-12-19T08:54:01Z
MarketBeat News;Amazon.com, Inc. (NASDAQ:AMZN) Stock Holdings Lifted by Klingman & Associates LLC;Klingman & Associates LLC lifted its holdings in shares of Amazon.com, Inc. (NASDAQ:AMZN) by 10.5% in the third quarter, according to the company in its most recent filing with the Securities & Exchange Commission. The fund owned 44,168 shares of the e-commer…;https://www.etfdailynews.com/2024/12/19/amazon-com-inc-nasdaqamzn-stock-holdings-lifted-by-klingman-associates-llc/;2024-12-19T08:44:49Z
MarketBeat News;Lindbrook Capital LLC Sells 1,431 Shares of Amazon.com, Inc. (NASDAQ:AMZN);Lindbrook Capital LLC lessened its stake in shares of Amazon.com, Inc. (NASDAQ:AMZN) by 1.8% in the third quarter, Holdings Channel reports. The institutional investor owned 79,104 shares of the e-commerce giant’s stock after selling 1,431 shares during the p…;https://www.etfdailynews.com/2024/12/19/lindbrook-capital-llc-sells-1431-shares-of-amazon-com-inc-nasdaqamzn/;2024-12-19T08:44:49Z
MarketBeat News;Amazon.com, Inc. (NASDAQ:AMZN) Shares Purchased by SilverOak Wealth Management LLC;SilverOak Wealth Management LLC raised its position in shares of Amazon.com, Inc. (NASDAQ:AMZN) by 0.8% in the third quarter, Holdings Channel.com reports. The fund owned 7,894 shares of the e-commerce giant’s stock after buying an additional 64 shares during…;https://www.etfdailynews.com/2024/12/19/amazon-com-inc-nasdaqamzn-shares-purchased-by-silveroak-wealth-management-llc/;2024-12-19T08:44:48Z
MarketBeat News;Rockbridge Investment Management LCC Raises Stock Holdings in Amazon.com, Inc. (NASDAQ:AMZN);Rockbridge Investment Management LCC lifted its holdings in shares of Amazon.com, Inc. (NASDAQ:AMZN) by 5.7% during the third quarter, according to the company in its most recent Form 13F filing with the Securities and Exchange Commission. The fund owned 9,51…;https://www.etfdailynews.com/2024/12/19/rockbridge-investment-management-lcc-raises-stock-holdings-in-amazon-com-inc-nasdaqamzn/;2024-12-19T08:44:47Z
MarketBeat News;TCTC Holdings LLC Sells 628 Shares of Amazon.com, Inc. (NASDAQ:AMZN);TCTC Holdings LLC lowered its stake in shares of Amazon.com, Inc. (NASDAQ:AMZN) by 0.3% in the third quarter, according to its most recent disclosure with the Securities & Exchange Commission. The firm owned 194,610 shares of the e-commerce giant’s stock afte…;https://www.etfdailynews.com/2024/12/19/tctc-holdings-llc-sells-628-shares-of-amazon-com-inc-nasdaqamzn/;2024-12-19T08:44:47Z
