date;ouverture;plus_haut;plus_bas;fermeture;volume
2024-12-19;85.0000;85.3900;84.2400;84.3100;13795127
2024-12-18;86.3910;87.2200;84.8279;85.0000;11319469
2024-12-17;85.5000;87.6000;85.4000;87.1500;13288728
2024-12-16;85.9600;86.9189;85.8700;86.0600;13216622
2024-12-13;88.1900;88.3900;87.2400;87.8200;11608633
2024-12-12;89.0350;90.0000;88.4900;89.2300;9951151
2024-12-11;88.8950;89.1650;88.0000;88.9800;9866019
2024-12-10;89.7850;90.5600;89.4950;89.8300;13859190
2024-12-09;92.0100;94.1200;91.8300;92.3200;32767317
2024-12-06;86.0100;86.6900;85.9000;85.9300;11751505
2024-12-05;84.7950;85.1000;83.9250;84.1500;12979565
2024-12-04;85.9500;85.9900;84.2700;84.9300;13613702
2024-12-03;86.0050;86.6400;85.3800;85.6800;13660713
2024-12-02;86.9400;87.0000;85.2700;85.9500;16537213
2024-11-29;86.4200;87.4900;85.9700;87.3700;7553510
2024-11-27;86.9700;87.5400;86.4700;86.5900;13607643
2024-11-26;85.8150;86.0800;84.8600;85.1800;10241468
2024-11-25;84.2500;85.8750;83.7500;85.5800;15120057
2024-11-22;83.6000;83.6800;82.6350;83.1300;24999202
2024-11-21;86.9800;87.0395;85.4450;85.5800;15869218
2024-11-20;87.0400;87.5400;86.5000;86.7700;15174535
2024-11-19;87.1600;87.9400;86.8184;87.1100;19289022
2024-11-18;88.9000;89.5000;87.8500;89.3500;13513838
2024-11-15;90.2000;90.7000;87.2300;88.5900;31018266
2024-11-14;90.8900;91.5550;90.0100;90.5800;16946771
2024-11-13;92.5500;92.8700;91.2800;92.0000;12874522
2024-11-12;92.6800;93.3300;91.0300;91.7800;21641878
2024-11-11;96.1600;96.8000;95.0450;95.4200;12556730
2024-11-08;96.1100;96.3800;93.6900;94.1900;24879795
2024-11-07;99.2600;101.1000;99.1800;100.1400;16340404
2024-11-06;95.8000;97.3200;94.7600;96.7300;18162861
2024-11-05;99.9700;101.0900;98.9550;99.2100;10804152
2024-11-04;98.8200;99.8800;98.3600;98.4000;8681889
2024-11-01;98.2200;98.2999;97.4200;97.5800;8501018
2024-10-31;97.8000;98.1000;96.7550;97.9800;8379347
2024-10-30;98.2150;99.8000;97.5800;98.7000;10179903
2024-10-29;101.4500;101.4500;99.5300;99.8300;13685370
2024-10-28;99.0300;101.0500;98.7800;99.9300;16044384
2024-10-25;98.3000;98.9000;97.0500;97.4200;16977095
2024-10-24;96.7900;97.4100;95.5200;96.3600;13602870
2024-10-23;100.1650;100.2200;97.7350;98.0000;13638151
2024-10-22;100.0100;101.8900;99.8000;100.4600;20650129
2024-10-21;100.4750;101.6500;100.1150;100.9100;10328625
2024-10-18;103.3650;103.3650;101.6600;102.4300;20824610
2024-10-17;101.2500;101.4500;99.5500;100.0700;15808247
2024-10-16;102.5050;103.8500;101.7800;102.1700;16432574
2024-10-15;103.9900;104.4100;101.6400;101.8400;28942615
2024-10-14;108.3100;110.0800;106.9200;107.8100;21351601
2024-10-11;108.0500;111.0500;107.2200;110.1400;18042614
2024-10-10;108.9800;110.8400;107.4800;109.2800;19736630
2024-10-09;105.8000;109.3800;105.6200;107.8900;28792997
