date;ouverture;plus_haut;plus_bas;fermeture;volume
2024-12-19;9.7900;9.9450;9.7000;9.7400;81659031
2024-12-18;9.9400;10.0900;9.6600;9.6900;84199505
2024-12-17;9.9600;10.0400;9.8800;9.9700;76208551
2024-12-16;10.0700;10.1200;9.8800;9.9900;96264420
2024-12-13;10.4000;10.4400;10.3200;10.3900;40560679
2024-12-12;10.3800;10.5050;10.3500;10.3900;38432619
2024-12-11;10.6100;10.6100;10.2800;10.4100;60487100
2024-12-10;10.7200;10.7400;10.5500;10.5600;45084301
2024-12-09;10.5550;10.8000;10.5300;10.6000;53230053
2024-12-06;10.5050;10.6000;10.4200;10.5100;56227007
2024-12-05;10.6400;10.6900;10.3900;10.4400;68162049
2024-12-04;10.8500;10.8700;10.5900;10.7400;66780705
2024-12-03;10.9900;11.0100;10.8200;10.8200;43904253
2024-12-02;11.2200;11.2450;10.9600;10.9800;50034381
2024-11-29;11.1600;11.2700;11.1200;11.1300;28935163
2024-11-27;11.1300;11.2550;11.0600;11.1000;28474186
2024-11-26;11.1600;11.2300;11.0400;11.1000;47458773
2024-11-25;11.3000;11.5200;11.2799;11.4000;63469313
2024-11-22;10.8100;11.3800;10.8000;11.1800;82556658
2024-11-21;10.7800;10.8500;10.6100;10.8000;53409527
2024-11-20;11.0100;11.0490;10.6100;10.7300;68633296
2024-11-19;11.0600;11.3200;11.0100;11.0500;53227720
2024-11-18;11.0500;11.2700;11.0300;11.2100;47807637
2024-11-15;11.0500;11.1500;10.9800;11.0100;58895435
2024-11-14;11.1300;11.2300;11.0200;11.0700;56780890
2024-11-13;11.1200;11.1700;11.0200;11.1000;55150861
2024-11-12;11.1400;11.3000;10.9500;11.1000;44921390
2024-11-11;11.0700;11.3200;11.0200;11.2300;56630455
2024-11-08;10.9300;10.9700;10.8600;10.9700;45463442
2024-11-07;11.0050;11.1100;10.8300;10.9600;55407938
2024-11-06;10.9500;11.2300;10.8350;11.1900;100781772
2024-11-05;10.3299;10.6400;10.3000;10.6000;49308968
2024-11-04;10.2300;10.5700;10.2300;10.3600;55323849
2024-11-01;10.3300;10.4100;10.2000;10.2200;43472278
2024-10-31;10.4300;10.4800;10.2400;10.2900;72098705
2024-10-30;10.3950;10.5300;10.3300;10.4700;48853742
2024-10-29;10.5300;10.5500;10.1800;10.4100;156227983
2024-10-28;11.1650;11.3900;11.1212;11.3700;97967008
2024-10-25;11.2800;11.3300;11.0150;11.0700;39120742
2024-10-24;11.2400;11.2500;11.0700;11.2400;44736444
2024-10-23;11.1100;11.2400;11.0200;11.0600;37335434
2024-10-22;10.9200;11.1500;10.9200;11.1100;51597599
2024-10-21;11.0800;11.1600;10.8600;10.8800;41008550
2024-10-18;11.1600;11.1700;11.0400;11.1000;26074884
2024-10-17;11.0400;11.1300;10.9350;11.0700;37617185
2024-10-16;10.8900;11.1800;10.8900;11.0300;46996409
2024-10-15;10.9100;11.0200;10.8200;10.8400;53097073
2024-10-14;10.7100;10.9600;10.6550;10.9200;41940151
2024-10-11;10.6400;10.8000;10.6300;10.7200;31915718
2024-10-10;10.5800;10.7000;10.5400;10.6800;39458338
2024-10-09;10.4900;10.6800;10.4400;10.6200;40406992
2024-10-08;10.5000;10.5800;10.3800;10.4900;46355726
2024-10-07;10.5500;10.6100;10.4500;10.4900;38009116
2024-10-04;10.5900;10.6100;10.4400;10.5700;45967802
2024-10-03;10.4100;10.4700;10.3300;10.4500;44458312
2024-10-02;10.7300;10.7300;10.4300;10.4800;51457448
2024-10-01;10.7200;10.8150;10.5800;10.7500;63962965
2024-09-30;10.4800;10.6100;10.4300;10.5600;59709712
2024-09-27;10.8400;10.9900;10.7600;10.7800;45469611
2024-09-26;10.5600;10.7500;10.5600;10.6800;51408483
2024-09-25;10.5900;10.5900;10.3200;10.4200;74109618
2024-09-24;10.9700;11.0000;10.8100;10.8700;37746280
2024-09-23;10.8400;10.9200;10.7100;10.9100;40421271
2024-09-20;10.8600;10.8800;10.6900;10.8800;68809148
2024-09-19;11.2200;11.3100;10.8650;10.9200;52436431
2024-09-18;10.9300;11.2550;10.9150;10.9800;55017320
2024-09-17;10.8900;11.1350;10.8200;10.9000;52068606
2024-09-16;10.7400;10.9200;10.7100;10.8000;34802362
2024-09-13;10.6800;10.7900;10.6250;10.6900;35184817
2024-09-12;10.4000;10.6497;10.3100;10.6200;43807346
2024-09-11;10.3100;10.4600;10.1300;10.4500;55840227
2024-09-10;10.4900;10.4900;10.1700;10.3200;63019219
2024-09-09;10.6100;10.7600;10.5350;10.6600;39223340
2024-09-06;10.7800;10.8700;10.5300;10.5800;47508883
2024-09-05;11.0800;11.1350;10.7200;10.7700;50551941
2024-09-04;10.9900;11.1550;10.8500;10.9500;47810858
2024-09-03;11.0800;11.1400;10.9400;10.9800;49613545
2024-08-30;11.1500;11.2300;11.0550;11.1900;44977055
2024-08-29;11.0200;11.2000;10.9900;11.1100;44989170
2024-08-28;11.1000;11.1850;10.9800;11.0400;35442160
2024-08-27;11.1200;11.2200;10.9900;11.1400;44840996
2024-08-26;11.3200;11.3700;11.0700;11.1100;53070331
2024-08-23;10.9800;11.2800;10.9400;11.2700;64612665
2024-08-22;10.8500;11.0100;10.8400;10.9200;50885398
2024-08-21;10.8350;10.9700;10.7500;10.8500;48943888
2024-08-20;10.7000;10.7900;10.6100;10.6800;32468000
2024-08-19;10.5600;10.7500;10.5400;10.7200;41066305
2024-08-16;10.4000;10.5150;10.3700;10.5100;34142630
2024-08-15;10.3700;10.5000;10.3700;10.4600;41597908
2024-08-14;10.1600;10.2400;10.0500;10.1800;37026425
2024-08-13;9.9200;10.1500;9.7700;10.1400;44766088
2024-08-12;10.1000;10.1040;9.8400;9.8600;56118717
2024-08-09;10.0800;10.1700;9.9700;10.1000;48860845
2024-08-08;9.8000;10.2500;9.8000;10.1300;73007624
2024-08-07;9.8500;9.9800;9.7500;9.7700;69482430
2024-08-06;9.7900;9.8600;9.6750;9.7800;111817647
2024-08-05;9.5600;9.9000;9.4900;9.7100;115594188
2024-08-02;10.5500;10.5500;10.0000;10.0300;110703005
2024-08-01;10.8600;10.9200;10.6050;10.6900;60516458
2024-07-31;10.8600;11.0100;10.7200;10.8200;75477976
