date;ouverture;plus_haut;plus_bas;fermeture;volume
2024-12-19;174.8600;175.8000;173.7701;174.2100;403759
2024-12-18;177.3300;179.3692;173.5500;173.6200;457921
2024-12-17;174.0000;174.6300;173.2800;173.2800;420959
2024-12-16;174.5700;174.9726;173.8500;174.2500;327358
2024-12-13;176.1700;176.2700;175.0500;175.8600;226009
2024-12-12;177.9400;178.5900;176.8200;176.9000;214096
2024-12-11;177.3000;178.4400;176.4800;178.1500;290341
2024-12-10;177.0100;177.3500;175.3400;175.7100;237127
2024-12-09;176.3500;178.6015;176.2100;177.0100;375985
2024-12-06;175.8600;176.2400;175.2900;175.9500;290724
2024-12-05;175.5800;176.1500;174.4000;174.4000;405527
2024-12-04;176.2500;176.2500;174.2506;174.7800;400545
2024-12-03;176.7000;176.7600;175.5700;176.0000;412181
2024-12-02;173.3500;176.1445;173.1550;175.8100;634891
2024-11-29;169.8000;170.6300;169.4200;170.6300;247724
2024-11-27;170.0800;170.3472;169.1200;169.7200;478541
2024-11-26;173.2000;173.4300;172.3100;172.5200;410685
2024-11-25;175.8700;176.5600;175.1700;175.8300;347925
2024-11-22;172.7500;174.7800;172.6400;174.4000;369057
2024-11-21;173.0500;174.2600;172.9800;173.3800;314749
2024-11-20;173.7700;174.2100;171.7700;172.9100;295507
2024-11-19;175.2000;176.0900;175.0000;175.3900;254581
2024-11-18;173.0000;175.8200;172.8444;174.7800;289389
2024-11-15;173.2300;173.5500;171.7800;172.8400;282329
2024-11-14;173.2700;174.6400;173.0137;173.4800;424919
2024-11-13;172.3100;172.9200;171.2900;172.3500;268587
2024-11-12;175.8400;176.7200;173.8600;174.9900;324742
2024-11-11;172.4800;174.8000;172.4800;174.1000;310349
2024-11-08;174.3500;174.5400;171.8000;172.0300;504146
2024-11-07;179.0000;179.6788;177.2600;178.4500;638020
2024-11-06;175.2500;176.0000;172.0200;175.1500;633028
2024-11-05;173.0100;174.8100;172.6400;174.7300;353403
2024-11-04;173.0000;173.8900;172.2900;172.7000;253412
2024-11-01;172.6800;173.6900;172.2700;172.8300;234233
2024-10-31;174.6400;174.6400;172.2000;173.0200;235011
2024-10-30;176.2500;176.3300;175.2000;175.2100;222769
2024-10-29;176.5000;177.1500;175.6400;176.0300;357259
2024-10-28;175.7000;176.8800;175.3095;176.6300;457277
2024-10-25;171.9000;173.0000;171.5900;172.0000;273877
2024-10-24;170.3700;171.4045;169.3000;170.4300;288576
2024-10-23;172.0000;172.3600;170.3300;171.3300;398124
2024-10-22;169.5800;170.2999;169.2900;169.9300;393126
2024-10-21;170.1000;170.2599;168.6550;169.1700;420176
2024-10-18;171.7000;171.9250;170.6924;171.5300;400413
2024-10-17;172.4800;172.7700;171.1000;171.2000;516184
2024-10-16;170.7600;171.8000;170.5100;171.5000;508130
